"","Candidate","SINCERE_MAX2","STRATEGIC_MAX2","n","percent"
"1","EDWARDS",0,0,9,0.0441176470588235
"2","EDWARDS",0,1,19,0.0931372549019608
"3","EDWARDS",1,0,94,0.46078431372549
"4","EDWARDS",1,1,82,0.401960784313726
"5","KERRY",0,0,12,0.0213903743315508
"6","KERRY",0,1,97,0.172905525846702
"7","KERRY",1,0,48,0.0855614973262032
"8","KERRY",1,1,404,0.720142602495544
