"","SINCERE_MAX2","STRATEGIC_MAX2","n","percent"
"1",0,0,15,0.0267379679144385
"2",0,1,75,0.133689839572193
"3",1,0,98,0.174688057040998
"4",1,1,373,0.664884135472371
