"","Candidate","SINCERE_MAX2","STRATEGIC_MAX2","n","percent"
"1","BUSH",0,0,10,0.0115606936416185
"2","BUSH",0,1,235,0.271676300578035
"3","BUSH",1,0,66,0.0763005780346821
"4","BUSH",1,1,554,0.640462427745665
"5","MCCAIN",0,0,13,0.0334190231362468
"6","MCCAIN",0,1,5,0.012853470437018
"7","MCCAIN",1,0,181,0.465295629820051
"8","MCCAIN",1,1,190,0.488431876606684
