"","SINCERE_MAX2","STRATEGIC_MAX2","n","percent"
"1",0,0,67,0.0703781512605042
"2",0,1,121,0.127100840336134
"3",1,0,252,0.264705882352941
"4",1,1,512,0.53781512605042
