"","SINCERE_MAX2","STRATEGIC_MAX2","n","percent"
"1",0,0,11,0.0118406889128095
"2",0,1,45,0.0484391819160387
"3",1,0,318,0.342303552206674
"4",1,1,555,0.597416576964478
