"","SINCERE_MAX2","STRATEGIC_MAX2","n","percent"
"1",0,0,6,0.0140515222482436
"2",0,1,104,0.243559718969555
"3",1,0,62,0.14519906323185
"4",1,1,255,0.597189695550351
