"","SINCERE_MAX2","STRATEGIC_MAX2","n","percent"
"1",0,0,21,0.0274509803921569
"2",0,1,116,0.151633986928105
"3",1,0,142,0.18562091503268
"4",1,1,486,0.635294117647059
