"","SINCERE_MAX2","STRATEGIC_MAX2","n","percent"
"1",0,0,32,0.0257028112449799
"2",0,1,233,0.18714859437751
"3",1,0,211,0.169477911646586
"4",1,1,769,0.617670682730924
