"","Candidate","SINCERE_MAX2","STRATEGIC_MAX2","n","percent"
"1","BUSH",0,0,4,0.0104712041884817
"2","BUSH",0,1,41,0.107329842931937
"3","BUSH",1,0,49,0.128272251308901
"4","BUSH",1,1,288,0.753926701570681
"5","MCCAIN",0,0,7,0.0127970749542962
"6","MCCAIN",0,1,4,0.00731261425959781
"7","MCCAIN",1,0,269,0.491773308957952
"8","MCCAIN",1,1,267,0.488117001828154
