"","SINCERE_MAX2","STRATEGIC_MAX2","n","percent"
"1",0,0,17,0.0899470899470899
"2",0,1,28,0.148148148148148
"3",1,0,50,0.264550264550265
"4",1,1,94,0.497354497354497
