"","SINCERE_MAX2","STRATEGIC_MAX2","n","percent"
"1",0,0,39,0.0286133528980191
"2",0,1,159,0.116654438738078
"3",1,0,281,0.206162876008804
"4",1,1,884,0.648569332355099
