"","SINCERE_MAX2","STRATEGIC_MAX2","n","percent"
"1",0,0,225,0.0680374962201391
"2",0,1,295,0.0892047172664046
"3",1,0,488,0.147565769579679
"4",1,1,2299,0.695192016933777
