"","SINCERE_MAX2","STRATEGIC_MAX2","n","percent"
"1",0,0,16,0.0213618157543391
"2",0,1,65,0.0867823765020027
"3",1,0,153,0.204272363150868
"4",1,1,515,0.68758344459279
