"","SINCERE_MAX2","STRATEGIC_MAX2","n","percent"
"1",0,0,49,0.0368975903614458
"2",0,1,199,0.149849397590361
"3",1,0,207,0.155873493975904
"4",1,1,873,0.657379518072289
